Country,City,Latitude,Longitude,Coffee type,Years,Total Production,Global Price of Arabica Coffee (US cents per a lb),Global Price of Robusta Coffee (US cents per a lb),Oceanic Index,El Nino or La Nina Year,Magnitude
Angola,Bailundo,-12.165,15.3694,Arabica/Robusta,1990,3000000.0,89.15,54.99,0.375,El Nino,Neutral
Bolivia,Coroico,-16.1889,-67.7273,Arabica,1990,7380000.0,89.15,54.99,0.375,El Nino,Neutral
Brazil,Poços de Caldas,-21.78,-46.5692,Arabica/Robusta,1990,1637160000.0,89.15,54.99,0.375,El Nino,Neutral
Burundi,Bukeye,-3.083,29.367,Arabica/Robusta,1990,29220000.0,89.15,54.99,0.375,El Nino,Neutral
Ecuador,Zamora,-4.0692,-78.9567,Arabica/Robusta,1990,90240000.0,89.15,54.99,0.375,El Nino,Neutral
Indonesia,Medan (Sumatra),3.5952,98.6722,Arabica/Robusta,1990,446460000.0,89.15,54.99,0.375,El Nino,Neutral
Madagascar,Antsirabe,-19.865,47.0333,Robusta,1990,58920000.0,89.15,54.99,0.375,El Nino,Neutral
Malawi,Thyolo Town,-16.0703,35.1471,Arabica,1990,6300000.0,89.15,54.99,0.375,El Nino,Neutral
Papua New Guinea,Goroka,-6.083,145.3874,Arabica/Robusta,1990,57780000.0,89.15,54.99,0.375,El Nino,Neutral
Paraguay,Villarrica,-25.75,-56.4333,Arabica,1990,7860000.0,89.15,54.99,0.375,El Nino,Neutral
Peru,Jaén,-5.7091,-78.8047,Arabica,1990,56220000.0,89.15,54.99,0.375,El Nino,Neutral
Rwanda,Huye (Butare),-2.6138,29.7372,Arabica,1990,32100000.0,89.15,54.99,0.375,El Nino,Neutral
Timor-Leste,Ermera,-8.7543,125.3968,Arabica,1990,0.0,89.15,54.99,0.375,El Nino,Neutral
Zimbabwe,Mutare City,-18.9707,32.6709,Arabica,1990,15120000.0,89.15,54.99,0.375,El Nino,Neutral
Cuba,Santiago de Cuba,20.0169,-75.8302,Arabica,1990,24840000.0,89.15,54.99,0.375,El Nino,Neutral
Dominican Republic,Constanza,18.9092,-70.7506,Arabica/Robusta,1990,52800000.0,89.15,54.99,0.375,El Nino,Neutral
Haiti,Dondon,19.533,-72.2,Arabica,1990,23580000.0,89.15,54.99,0.375,El Nino,Neutral
Philippines,Baguio,16.4023,120.596,Arabica/Robusta,1990,58440000.0,89.15,54.99,0.375,El Nino,Neutral
Tanzania,Moshi,-3.3349,37.3404,Arabica/Robusta,1990,55920000.0,89.15,54.99,0.375,El Nino,Neutral
Zambia,Chipata City,-13.6333,32.65,Arabica,1990,1380000.0,89.15,54.99,0.375,El Nino,Neutral
Cameroon,Dschang,5.447,10.05,Arabica/Robusta,1990,100920000.0,89.15,54.99,0.375,El Nino,Neutral
