Country,Coffee type,Year Start,Year End,Total Production
Angola,Robusta/Arabica,631152000,662601600,3000000.0
Bolivia,Arabica,631152000,662601600,7380000.0
Brazil,Arabica/Robusta,631152000,662601600,1637160000.0
Burundi,Arabica/Robusta,631152000,662601600,29220000.0
Ecuador,Arabica/Robusta,631152000,662601600,90240000.0
Indonesia,Robusta/Arabica,631152000,662601600,446460000.0
Madagascar,Robusta,631152000,662601600,58920000.0
Malawi,Arabica,631152000,662601600,6300000.0
Papua New Guinea,Arabica/Robusta,631152000,662601600,57780000.0
Paraguay,Arabica,631152000,662601600,7860000.0
Peru,Arabica,631152000,662601600,56220000.0
Rwanda,Arabica,631152000,662601600,32100000.0
Timor-Leste,Arabica,631152000,662601600,0.0
Zimbabwe,Arabica,631152000,662601600,15120000.0
Congo,Robusta,631152000,662601600,180000.0
Cuba,Arabica,631152000,662601600,24840000.0
Dominican Republic,Arabica/Robusta,631152000,662601600,52800000.0
Haiti,Arabica,631152000,662601600,23580000.0
Philippines,Robusta/Arabica,631152000,662601600,58440000.0
Tanzania,Arabica/Robusta,631152000,662601600,55920000.0
Zambia,Arabica,631152000,662601600,1380000.0
Cameroon,Robusta/Arabica,631152000,662601600,100920000.0
Central African Republic,Robusta,631152000,662601600,10500000.0
Colombia,Arabica,631152000,662601600,863760000.0
Costa Rica,Arabica,631152000,662601600,153720000.0
Côte d'Ivoire,Robusta,631152000,662601600,176400000.0
Democratic Republic of Congo,Robusta/Arabica,631152000,662601600,94800000.0
El Salvador,Arabica,631152000,662601600,147900000.0
Equatorial Guinea,Robusta,631152000,662601600,240000.0
Ethiopia,Arabica,631152000,662601600,174540000.0
Gabon,Robusta,631152000,662601600,180000.0
Ghana,Robusta,631152000,662601600,2280000.0
Guatemala,Arabica/Robusta,631152000,662601600,196260000.0
Guinea,Robusta,631152000,662601600,2640000.0
Guyana,Robusta,631152000,662601600,0.0
Honduras,Arabica,631152000,662601600,94080000.0
India,Robusta/Arabica,631152000,662601600,169740000.0
Jamaica,Arabica,631152000,662601600,1380000.0
Kenya,Arabica,631152000,662601600,89100000.0
Lao People's Democratic Republic,Robusta,631152000,662601600,0.0
Liberia,Robusta,631152000,662601600,180000.0
Mexico,Arabica/Robusta,631152000,662601600,280440000.0
Nepal,Arabica,631152000,662601600,0.0
Nicaragua,Arabica,631152000,662601600,27660000.0
Nigeria,Robusta,631152000,662601600,1740000.0
Panama,Arabica,631152000,662601600,12900000.0
Sierra Leone,Robusta,631152000,662601600,2580000.0
Sri Lanka,Robusta/Arabica,631152000,662601600,5760000.0
Thailand,Robusta/Arabica,631152000,662601600,45420000.0
Togo,Robusta,631152000,662601600,9660000.0
Trinidad & Tobago,Robusta,631152000,662601600,900000.0
Uganda,Robusta/Arabica,631152000,662601600,117300000.0
Venezuela,Arabica,631152000,662601600,67320000.0
Viet Nam,Robusta/Arabica,631152000,662601600,78600000.0
Yemen,Arabica,631152000,662601600,0.0
Angola,Robusta/Arabica,662688000,694137600,4740000.0
Bolivia,Arabica,662688000,694137600,6240000.0
Brazil,Arabica/Robusta,662688000,694137600,1637580000.0
Burundi,Arabica/Robusta,662688000,694137600,40020000.0
Ecuador,Arabica/Robusta,662688000,694137600,127440000.0
Indonesia,Robusta/Arabica,662688000,694137600,509580000.0
Madagascar,Robusta,662688000,694137600,55980000.0
Malawi,Arabica,662688000,694137600,7440000.0
Papua New Guinea,Arabica/Robusta,662688000,694137600,44820000.0
Paraguay,Arabica,662688000,694137600,4800000.0
Peru,Arabica,662688000,694137600,72000000.0
Rwanda,Arabica,662688000,694137600,29040000.0
Timor-Leste,Arabica,662688000,694137600,0.0
Zimbabwe,Arabica,662688000,694137600,12060000.0
Congo,Robusta,662688000,694137600,180000.0
Cuba,Arabica,662688000,694137600,18120000.0
Dominican Republic,Arabica/Robusta,662688000,694137600,19260000.0
Haiti,Arabica,662688000,694137600,27780000.0
Philippines,Robusta/Arabica,662688000,694137600,61080000.0
Tanzania,Arabica/Robusta,662688000,694137600,47400000.0
Zambia,Arabica,662688000,694137600,1740000.0
Cameroon,Robusta/Arabica,662688000,694137600,103560000.0
Central African Republic,Robusta,662688000,694137600,7500000.0
Colombia,Arabica,662688000,694137600,1078800000.0
Costa Rica,Arabica,662688000,694137600,165600000.0
Côte d'Ivoire,Robusta,662688000,694137600,247740000.0
Democratic Republic of Congo,Robusta/Arabica,662688000,694137600,73800000.0
El Salvador,Arabica,662688000,694137600,131880000.0
Equatorial Guinea,Robusta,662688000,694137600,180000.0
Ethiopia,Arabica,662688000,694137600,175500000.0
Gabon,Robusta,662688000,694137600,120000.0
Ghana,Robusta,662688000,694137600,4560000.0
Guatemala,Arabica/Robusta,662688000,694137600,209820000.0
Guinea,Robusta,662688000,694137600,5460000.0
Guyana,Robusta,662688000,694137600,0.0
Honduras,Arabica,662688000,694137600,139320000.0
India,Robusta/Arabica,662688000,694137600,180000000.0
Jamaica,Arabica,662688000,694137600,2340000.0
Kenya,Arabica,662688000,694137600,90840000.0
Lao People's Democratic Republic,Robusta,662688000,694137600,0.0
Liberia,Robusta,662688000,694137600,180000.0
Mexico,Arabica/Robusta,662688000,694137600,283620000.0
Nepal,Arabica,662688000,694137600,0.0
Nicaragua,Arabica,662688000,694137600,42420000.0
Nigeria,Robusta,662688000,694137600,2640000.0
Panama,Arabica,662688000,694137600,11580000.0
Sierra Leone,Robusta,662688000,694137600,3240000.0
Sri Lanka,Robusta/Arabica,662688000,694137600,4920000.0
Thailand,Robusta/Arabica,662688000,694137600,88140000.0
Togo,Robusta,662688000,694137600,25980000.0
Trinidad & Tobago,Robusta,662688000,694137600,1080000.0
Uganda,Robusta/Arabica,662688000,694137600,125280000.0
Venezuela,Arabica,662688000,694137600,56460000.0
Viet Nam,Robusta/Arabica,662688000,694137600,86280000.0
Yemen,Arabica,662688000,694137600,0.0
Angola,Robusta/Arabica,694224000,725760000,4680000.0
Bolivia,Arabica,694224000,725760000,7200000.0
Brazil,Arabica/Robusta,694224000,725760000,2076180000.0
Burundi,Arabica/Robusta,694224000,725760000,37200000.0
Ecuador,Arabica/Robusta,694224000,725760000,71100000.0
Indonesia,Robusta/Arabica,694224000,725760000,334140000.0
Madagascar,Robusta,694224000,725760000,67320000.0
Malawi,Arabica,694224000,725760000,8220000.0
Papua New Guinea,Arabica/Robusta,694224000,725760000,54000000.0
Paraguay,Arabica,694224000,725760000,3240000.0
Peru,Arabica,694224000,725760000,105720000.0
Rwanda,Arabica,694224000,725760000,38340000.0
Timor-Leste,Arabica,694224000,725760000,0.0
Zimbabwe,Arabica,694224000,725760000,4680000.0
Congo,Robusta,694224000,725760000,180000.0
Cuba,Arabica,694224000,725760000,17040000.0
Dominican Republic,Arabica/Robusta,694224000,725760000,38280000.0
Haiti,Arabica,694224000,725760000,30000000.0
Philippines,Robusta/Arabica,694224000,725760000,55200000.0
Tanzania,Arabica/Robusta,694224000,725760000,47160000.0
Zambia,Arabica,694224000,725760000,1740000.0
Cameroon,Robusta/Arabica,694224000,725760000,15600000.0
Central African Republic,Robusta,694224000,725760000,8040000.0
Colombia,Arabica,694224000,725760000,896820000.0
Costa Rica,Arabica,694224000,725760000,179880000.0
Côte d'Ivoire,Robusta,694224000,725760000,134760000.0
Democratic Republic of Congo,Robusta/Arabica,694224000,725760000,70800000.0
El Salvador,Arabica,694224000,725760000,180060000.0
Equatorial Guinea,Robusta,694224000,725760000,120000.0
Ethiopia,Arabica,694224000,725760000,109500000.0
Gabon,Robusta,694224000,725760000,180000.0
Ghana,Robusta,694224000,725760000,2220000.0
