City,Country,City_Country,Latitude,Longitude,Coordinate
Bailundo,Angola,"Bailundo, Angola",-12.165,15.3694,"-12.165, 15.3694"
Coroico,Bolivia,"Coroico, Bolivia",-16.1889,-67.7273,"-16.1889, -67.7273"
Poços de Caldas,Brazil,"Poços de Caldas, Brazil",-21.78,-46.5692,"-21.78, -46.5692"
Bukeye,Burundi,"Bukeye, Burundi",-3.083,29.367,"-3.083, 29.367"
Zamora,Ecuador,"Zamora, Ecuador",-4.0692,-78.9567,"-4.0692, -78.9567"
Medan (Sumatra),Indonesia,"Medan (Sumatra), Indonesia",3.5952,98.6722,"3.5952, 98.6722"
Antsirabe,Madagascar,"Antsirabe, Madagascar",-19.865,47.0333,"-19.865, 47.0333"
Thyolo Town,Malawi,"Thyolo Town, Malawi",-16.0703,35.1471,"-16.0703, 35.1471"
Goroka,Papua New Guinea,"Goroka, Papua New Guinea",-6.083,145.3874,"-6.083, 145.3874"
Villarrica,Paraguay,"Villarrica, Paraguay",-25.75,-56.4333,"-25.75, -56.4333"
Jaén,Peru,"Jaén, Peru",-5.7091,-78.8047,"-5.7091, -78.8047"
Huye (Butare),Rwanda,"Huye (Butare), Rwanda",-2.6138,29.7372,"-2.6138, 29.7372"
Ermera,Timor-Leste,"Ermera, Timor-Leste",-8.7543,125.3968,"-8.7543, 125.3968"
Mutare City,Zimbabwe,"Mutare City, Zimbabwe",-18.9707,32.6709,"-18.9707, 32.6709"
Dolisie,Congo (Republic of the Congo),"Dolisie, Congo (Republic of the Congo)",-4.1983,12.6666,"-4.1983, 12.6666"
Santiago de Cuba,Cuba,"Santiago de Cuba, Cuba",20.0169,-75.8302,"20.0169, -75.8302"
Constanza,Dominican Republic,"Constanza, Dominican Republic",18.9092,-70.7506,"18.9092, -70.7506"
Dondon,Haiti,"Dondon, Haiti",19.533,-72.2,"19.533, -72.2"
Baguio,Philippines,"Baguio, Philippines",16.4023,120.596,"16.4023, 120.596"
Moshi,Tanzania,"Moshi, Tanzania",-3.3349,37.3404,"-3.3349, 37.3404"
Chipata City,Zambia,"Chipata City, Zambia",-13.6333,32.65,"-13.6333, 32.65"
Dschang,Cameroon,"Dschang, Cameroon",5.447,10.05,"5.447, 10.05"
Berbérati,Central African Republic,"Berbérati, Central African Republic",4.2611,15.7922,"4.2611, 15.7922"
Armenia,Colombia,"Armenia, Colombia",4.5361,-75.6757,"4.5361, -75.6757"
San Marcos,Costa Rica,"San Marcos, Costa Rica",9.6635,-84.0167,"9.6635, -84.0167"
Abengourou,Côte d'Ivoire,"Abengourou, Côte d'Ivoire",6.7303,-3.483,"6.7303, -3.483"
Goma,Democratic Republic of Congo,"Goma, Democratic Republic of Congo",-1.6792,29.2228,"-1.6792, 29.2228"
Apaneca,El Salvador,"Apaneca, El Salvador",13.8659,-89.8434,"13.8659, -89.8434"
Bata,Equatorial Guinea,"Bata, Equatorial Guinea",1.8639,9.7658,"1.8639, 9.7658"
Jimma,Ethiopia,"Jimma, Ethiopia",7.6792,36.834,"7.6792, 36.834"
Franceville,Gabon,"Franceville, Gabon",-1.6333,13.5833,"-1.6333, 13.5833"
Akuapim South,Ghana,"Akuapim South, Ghana",5.8598,-0.1867,"5.8598, -0.1867"
Antigua Guatemala,Guatemala,"Antigua Guatemala, Guatemala",14.5586,-90.7295,"14.5586, -90.7295"
Siguiri,Guinea,"Siguiri, Guinea",11.422,-9.168,"11.422, -9.168"
New Amsterdam,Guyana,"New Amsterdam, Guyana",6.25,-57.5167,"6.25, -57.5167"
Santa Rosa de Copán,Honduras,"Santa Rosa de Copán, Honduras",14.7667,-88.7833,"14.7667, -88.7833"
Chikmagalur Town,India,"Chikmagalur Town, India",13.3167,75.7833,"13.3167, 75.7833"
Blue Mountain Peak,Jamaica,"Blue Mountain Peak, Jamaica",18.0442,-76.5796,"18.0442, -76.5796"
Nyeri Town,Kenya,"Nyeri Town, Kenya",-0.4201,36.9476,"-0.4201, 36.9476"
Paksong,Lao People's Democratic Republic,"Paksong, Lao People's Democratic Republic",15.1333,106.3833,"15.1333, 106.3833"
Gbarnga,Liberia,"Gbarnga, Liberia",7.0104,-9.49,"7.0104, -9.49"
Coatepec,Mexico,"Coatepec, Mexico",19.4533,-96.9614,"19.4533, -96.9614"
Baglung,Nepal,"Baglung, Nepal",28.2719,83.5898,"28.2719, 83.5898"
Matagalpa City,Nicaragua,"Matagalpa City, Nicaragua",12.9171,-85.9167,"12.9171, -85.9167"
Jos,Nigeria,"Jos, Nigeria",9.9285,8.8921,"9.9285, 8.8921"
Boquete,Panama,"Boquete, Panama",8.7783,-82.4324,"8.7783, -82.4324"
Kenema City,Sierra Leone,"Kenema City, Sierra Leone",7.8758,-11.1875,"7.8758, -11.1875"
Bandarawela,Sri Lanka,"Bandarawela, Sri Lanka",6.8259,80.9982,"6.8259, 80.9982"
Chiang Mai City,Thailand,"Chiang Mai City, Thailand",18.7883,98.9853,"18.7883, 98.9853"
Sokodé,Togo,"Sokodé, Togo",8.9833,1.1333,"8.9833, 1.1333"
Scarborough,Trinidad & Tobago,"Scarborough, Trinidad & Tobago",11.1833,-60.7333,"11.1833, -60.7333"
Mbale,Uganda,"Mbale, Uganda",1.0761,34.1756,"1.0761, 34.1756"
San Cristóbal,Venezuela,"San Cristóbal, Venezuela",7.7669,-72.225,"7.7669, -72.225"
Dalat,Vietnam,"Dalat, Vietnam",11.9404,108.4583,"11.9404, 108.4583"
Taiz,Yemen,"Taiz, Yemen",13.5795,44.0209,"13.5795, 44.0209"
